text,sentiment,group
fico taís araújo pedir pizza brócolis,0,train
tô assistir sofrer fome,1,train
date pra casa comer confortr food jobs top,1,train
finalmente taise tapioca hahahahah,1,train
risada porquinho scrrr vivianne,1,train
hoje ta parabem,1,train
perguntar pra laura miller cair espermar olho pessoa correr risco ficar cega    lauramuller lauramilller,1,train
programadojô number number,0,train
fátima bernades videoshowaovivo,1,train
opinião diferença negro preto valer caráter pessoa,1,train
crescer igual geysa pedir videoshowaovivo,1,train
edecasa passar algum legal,0,train
mander nude hahushuahsuahush ahar,0,train
dia,1,train
inevitável lanchinho tento,1,train
viver bom sonhar  ,1,train
otaviano Costa perdido falar Nelson xavier,0,train
vitor b crush fav temporada,1,train
decepcionar equipeazul acreditar bom equipe formar,1,train
michele tá precisar carregar vibrador bolsa mimimi carai,0,train
assistir recadinho username fofocalizar bora assistir rodada noite especial number ano praça,1,train
username fã olho arregalar ouvir atento  ,1,train
tchan p completar,1,train
ei queridinha bor parar reforçar esteriótipo machista   infelizmente alimentar machismo,0,train
tchan dever disciplina escola geração obrigação saber país altashor,1,train
bom episódio temporada,1,train
berro fogaça assustar paola hahahahahahahar,1,train
estrutura emocional pra assistir,0,train
opinião negro absorvir quase totalmente luz preto reflete luz encontro,0,train
catra Foda   ,1,train
kkkk ahhh morro vera dar doido amo cara,1,train
padre fábio Melo cantar tr bala caso,1,train
maisvocê irmã calça number compra sapato lojanunca dificuldade encontrar numeracao,1,train
iri fofa linda     edecasa,1,train
yuko vitor b Ah naoo enqto Nayane Leonardo mir competição Merdaaa,0,train
hora levantar arrumar casa preparar pro bom evento semana masterchefbr pooorraaa   ,1,train
impressão username dizer intrevalo videoshowaovivo,0,train
começar,1,train
chorar ver,1,train
acordar querer tô indignar mirian sair   dia,0,train
alimento raro mina conhecer,0,train
tadinho abel sair masterchefbr perceba atrasar,0,train
username Fomeee olhar lutar   equipeazul,1,train
gente comida inventar mds    ,0,train
ir sentir jogada cabelo douglas dar,1,train
justo deixar cara terminar prova,1,train
bad perder username semana passado username hj   ,0,train
tristar saída douglas  ,0,train
papo chato ignorante hoje vir chamar petista pq porte arma doença,0,train
emocionante cena reencontro giuliana filho orfanato vídeoshowaovivo,1,train
rafael infante   rafaelinfante      username username,1,train
putz programadoporchat passar globo username pgmdobial prq username tá bosta,0,train
pedir opinião leo,0,train
vc nao querer nano,0,train
username ser ser q Brasil ta pronto pra conversapra pensamento critico cego torcida conversacombial,0,train
jeito time perder,0,train
acabar matéria chato menino videoshowaovivo,0,train
gatinha username,1,train
alho gente comprar mercado nascer     username username,0,train
dougla sair tombar msm rei programa,1,train
n acreditar q Yuko vitor sair    ,0,train
vejor dia terça aguentar mirian imaginar masterchefbr,0,train
olhar dedo pra cortar username   ,1,train
entendi pronúncia trial mudar relacionar Bike,0,train
carar ridículo,0,train
gostar solicitar cancelamento episódio,0,train
gostar relembrar nelson xavier memoria nacional Miguel falabella pena,1,train
lindar username  ,1,train
esperar ter repescagem pro username voltar to aceitar saída mirian,0,train
gente alguém eduardo mãe de ele,0,train
number passar username fazer piada estupro vestido mulher,0,train
username username lindo      teamlur,1,train
amei matéria calar boca tá passar vivianne pasmanter tv,1,train
pqr brasileiro qdo esforçam p falar inglês ser q qnd internacional tentar falar língua,0,train
caralhar texto Murilo Hahahahahaha,1,train
equipe azul vencer masterchefbr,1,train
barco Taças comida dar fome  ,1,train
definição homao porra atualizar,1,train
infelizmente assisti programa hoje bom masterchefbr,1,train
Leonardo vc chato bj xau,0,train
desconstruir pseudônimo Justiça brasileira liberar livro prejuízo marketing fazer colheita conversacombial,0,train
bom dupla comando   ota joca username,1,train
cara cortar dedo gente pagar pgm terminar colar hora number,0,train
gente lir homenagem username programa praça   emocionante,1,train
explicar parada colocar pedra ração pro cachorro comer devagar edecasa,0,train
username repetir muito pauta,0,train
vitorv cortar cabelo curtir masterchefbr,0,train
q falar q mãe q criar filho machista encontro,1,train
aliviar pq deus super elogiado username username,1,train
hoje claramente palta usar materia lixo nao usar último,0,train
Team leonardo eu deixaaar,1,train
fé pai hoje mirian sair,1,train
passar,1,train
Léo lins Vera ver mano rir kkk ķkk Eeepá kkk username username,1,train
identifiquei manoel hoje n Tatoo mãe n deixar morar de ela saio deixar,1,train
ta esfregar publico constrangar independente velho hetero etc encontro,0,train
passar passar,1,train
irmã galvãor,1,train
ameir vestido username,1,train
pqr nhoc number minuto senhor masterchefbr username,0,train
number lutadore   masterchefr,1,train
hoje laura pena,0,train
fiquei c pena username calça   apertar q n tar conseguir mover diafragma,0,train
linr username to amar programa hj username Username,1,train
ligadinho   username tá lindíssimo  ,1,train
copo vazio encher,1,train
hoje completo boda chocolate príncipe melhor comemorar username  ,1,train
juntinho ficar velhinho bengalar crochê   maiaraemaraisanobial username,1,train
merlô naver   aaa,1,train
poder trocar yuko mirian time,1,train
maiara deixar maraisa envergonhar conversacombial maiaraemaraisanobial username,1,train
timeazul,0,train
modo votação torturante,0,train
viviane pasmanter roubar cena videoshowaovivo,1,train
dale porrar   prato levar direto,0,train
seguro coração,1,train
golia bom personagem praça,1,train
amo   tá especialmente engraçar hoje lulapalooza hahaha   ,1,train
Tiago leifert vc homem branco rico claro qur pm Rio ajudar tratar amore encontro encontrocomfatima,0,train
frango quiabo angu lembrar pessoa,0,train
Maria Fernanda cândir aaa  ,1,train
so torcer amooo celso,1,train
taís araújo tirar onda ana kkk gostar performance madonna kkk tá,0,train
username jô soares   username username,0,train
gente chegaaa gente entender tá globo real liber,0,train
sandy cantar esperar gente lembrar     gui júliar,1,train
ser sardinha ir fritar deixar sequinha colocar limão tá pronto prato,1,train
Tiê look despojar frescura,1,train
tar lembrar mirer falar ó indivíduo   fabrizio   moqueca zzz,0,train
acreditar q douglas sair cobra chamar mirian ficar ranço foramirian masterchefbrasil,0,train
ta bater bob acabar,0,train
criar música futebol bom partida futebol skank hino vídeoshowaovivo,1,train
talkshow q vc respeitar bemassim,1,train
pqp ficar vitor b yuko sair pessoaaa  ,0,train
hoje mtaaas emoção,1,train
adorei antônia Moraes abrir Guarda roupa manu megar estiloso querer roupa pra eu   username,1,train
  quase nao sal ta temperar   nao consigo acreditar em isso,0,train
username entrevista c username mtboa perguntasótima pena qacabou raper aindabemq n haviaoutro entrevistar conversacombial,1,train
otimista graca deu,1,train
muitooo loka máscara username  ,1,train
ano luíza sair profissional chocar profissional pq fraquinha vazar,0,train
username amo continuar campanha adoteumpequenotorcedor pst,1,train
ameyr q colocarar paola pra cosinhar co participante nuuu,1,train
ano luíza arrasar torcer pra,1,train
déborar tb potencial nmrl number mt bom,1,train
tônico arrasar Bruna marquezine videoshowaovivo,1,train
coitado marisa rockstory sair farofa vendida barzinho espetinho cidade vídeoshowaovivo,0,train
ganhar coração achar dificil minimamente gostar thiago leifert encontro,0,train
mirir calar irritante masterchefbr,0,train
talentoso mãe talentosa filha vídeoshowaovivo,1,train
férias permitir semana namario tomar taís araujo queimar mão hj vestida unicórnio d  ,1,train
yuko mandar né,1,train
único programa Foda suficiente pra continuar ser assunto comentar twitter acabar,1,train
vídeo show dia mães tá otimo   Recife,1,train
hahahaa username bom pessoa maisvoce,1,train
baixinha gordinhar dona coração   maiaraemaraisanobial username,1,train
ué cade resto matéria   videoshowaovivo,0,train
jackie boy the noite   juliana engraçar kkk   charliehunnar,1,train
fazer conta presidente cair igual país desgovernar  ,0,train
medo bobo hino bicho,1,train
username maiaraemaraisanobial poder dia telinha     vício   ,1,train
tadinho vitor b temporada estao sair bacano pressao acabar ferrar enfim ce la vie,0,train
hoje vir username,1,train
namario rir tanto problema Brasil,1,train
tá Foda hoje tadinho vitor merecer chance,0,train
prova lindo eliminaçao discurso username tamber,1,train
apaixonar filho serginho,1,train
querer patrocinador vitor b pra manter custo programa perder credibilidade parar,0,train
babar perdir,0,train
deu gente mulher tb eh machista nao to acreditar to pagar luz pra,0,train
to amar programa    elenco carinha anjo   ,1,train
braulio poesia amo encontro,1,train
joco roupa ta tri hoje otaviano blusa preto realçar Cabelo Haahahhahaha,1,train
username username bom comediante morrer rir altashora,1,train
hoje bombar,1,train
homão porra santoro,1,train
juliana Paes mulherão de esse,1,train
sandy continuar bobinha risada graça deixar falar em é enfim,0,train
paola lindo,1,train
gente bom episódio,1,train
pequeno cora hein lindo mãe temporada malhaçao username encontrocomfatima,1,train
to desesperar,0,train
maluma username tô chorandooo   dizer,1,train
username praticamente buzina água fusquinha,0,train
fátimar bernarde emocionado lindar ícone   videoshowaovivo,1,train
filme charlie robert produzir brad pitt aguentar,1,train
crer hj,1,train
bebe sair          ,0,train
viver pasmanter ler simpatia celular bom hoje videoshowaovivo,1,train
hoje mirian sair aguentar mulher,0,train
show de esse menina maravigold    maiaraemaraisanobial,1,train
mulher insuportável falar edecasa desliguei tv,0,train
hoje ver username bial aula oratória aula espiritualidade uso rede social,1,train
vanessa matta humorado humorista hahahaha,1,train
username perder realities existir dougla holler Haha alok humildade,0,train
ansioso plantão hoje ansiedade ador,1,train
amo clipe,1,train
adorei tchau ultraje rigor programa inteligente virar tendência repitar kkkk,1,train
poder   equipe vermelho ganhar mirer prova eliminação ninguém gostar de ela,0,train
dia consecutivo tweet lir vídeoshowaovivo hoje username adorei      ,1,train
chegar dar dor cabeça nervoso username,0,train
ver comir par  ,1,train
ficar lir óculos,1,train
cheguei atrasar hb tá sensacional ano ir comprar livro tô babar haver,1,train
username username   ate começar username,0,train
viciei programa consigo dormir programa,1,train
bom Brasil     ,1,train
participario vale carrefour r   1000 tá Foda compra,0,train
tô cheio prova faculdade consigo parar programa masterchefbr,1,train
username tar viado castigo,0,train
sensacional resposta vaidade conversacombial,1,train
username Username Username Username username vcs nao infartar hj implorar espera  ,1,train
vitor b hoje tá lir q,1,train
tchan delícer energiar,1,train
mulher cara falar amo ursinho rs number falar sentir amar desafio,0,train
ai saudade hebe camargo maisvocê,1,train
olá username username gostar participação fiuk  ,0,train
vanessa mata aguentar tocar tchan altashora,1,train
haahhahaah cair macho imbecil  ,0,train
de aqui fátima,1,train
username vc bom username chamar p comer brigadeiro adoooro maisvoce,1,train
ahhh ouvir username falar confortante,1,train
ir assistir tv todaaa bixar   ,0,train
lir incrivel parecer cara username    ,1,train
Jacquinnn Fofo dmsss medo paola doq jacquinn,1,train
time vitor chato leonardo masterchefbr,0,train
olá username programa ficar lir presença sar alve username Username,1,train
amigo vc continuar desorganizado,0,train
aguentar história adoção,0,train
prestes começar hoje mirer sair marmelada   ,0,train
yuko vitor b berlinda ir morrer rapidinho masterchefbr,0,train
entendi intenção number ringue achar brega confuso,0,train
cê esquecer letra kkkk adorei,1,train
namario elegante perguntar visita comer,0,train
vitor b fofo lir mundo cantar fogaça reconhecer humildade de ele  ,1,train
username dever acabar,1,train
catra username,1,train
username mãe tá linda programa,1,train
username gostar músico ficar pé banquinho pra,1,train
mostrar pra mundo riqueza culinária brasileiro,1,train
maisvocê mt engraçar username dar dia pro Louro,1,train
gente amo fatinha falar super hahahaha   encontro,1,train
dr Augusto cury falar ansiedade etc concertezar ótima entrevista excelente convidado,1,train
fátima profissional admirável parabéns,1,train
lua ta fase em é fico acompanhar bichinho merecer,1,train
programa hj digno masterchefbr,1,train
hoje augusto maravilhoso diferentão cury coração amém,1,train
querer hj eh username amo,1,train
puta merdo cobra mezanino,0,train
Fatima maravilhoso deu,1,train
deu céu quase q yuko     graças deu q preferida sair,1,train
cara falar racismo mitar lacrar pq conhecimento causa,1,train
jeito difícil mudar mínimo cabeça de esse homem geração avós d hj n morrer,0,train
maiara   maraiso lindo,1,train
sofia abr denovo tchan desnecessário pgm hoje altashora,0,train
maluma q sapão,0,train
assistir dormi descobrir vitor sair aaa,0,train
mandar mirer ficar mundo feliz,0,train
achar pecar padre fábio Melo padre achar fé fanatismo coerência leveza gostar conversacombial,1,train
hoje,1,train
leandro leonardo gostar d q relembrar praça,1,train
bom programaaa kkk,1,train
fátimar bernarde musa vopa musa globo tv brasieliro      ,1,train
gente fátima hoje tar quebrar mãe adoção amor coração      ,1,train
amo amo amo Augusto cury livro de ele ler ansiedade number,1,train
mandar leo descer eliminar yukooo,0,train
distância pessoa credo,0,train
gente nar rei ruim repar,0,train
username bom pessoa masterchefbr username,1,train
nar rei casar mesmo mulher maravilhoso               nandoreisnoencontro,1,train
valer pena pagar u   number pra maquina passar dobrar roupa  ,1,train
username amar sardinha ganhei megasena contar,0,train
vitor b sair    ,0,train
bom episódio faltar mirian sair dougla,1,train
amooor username,1,train
band esperar programa soltar intervalo engatar duzento intervalo number minuto final,0,train
arrasar mlk,1,train
leo lins venerar kkk,1,train
mãe pegar babar assistir username     tãolir,1,train
username falar parabéns palavra cristão mostrar intimidade deu estudar conversacombial,1,train
maisvocê mulher linda username encanto vêla Diaa,1,train
username estar exercitar amor alegria viver,1,train
amooo adulto voz criança dever passar dia username Username Username username,1,train
preparar pra ep hoje tô veneno,1,train
bosta país sequer spray pimenta liberar pra mulher defender,0,train
mr catra foda dmal,1,train
doi gente,0,train
parabéns username garra força vontadea dia fãmerecar bom   ,1,train
number 5 m kikar pai amar rs,0,train
leonardo achar pra caramba,0,train
fé pai mirir sair,0,train
aeee peixe enter masterchefbr teamfabriziomasterchefbr teamfabrizio,1,train
to assistir cachorro andar skate surfar crc   ,1,train
racismo ta pequeno coisa em e encontro,0,train
Vítor b tá Trends,1,train
missão dia evitar spoiler,0,train
ameir pijama ana,1,train
to morrer fofura Thomas,1,train
ver arrumar marmita amanhã vida gente fácil,0,train
mirer saia semana amém,0,train
fiquei triste eliminação username mau episódio,0,train
vejo Trends fico pensar gafe namaria,0,train
sofiaabr otaviano amo amor,1,train
yuko sair parar assistir mãe revoltar,0,train
herói latino voar cantar festa ape kkklllkkk,1,train
episódio maravilhoso to assistir pé nervoso Hahahahha,1,train
coitar username judario q username gordo   gordo,0,train
expulse diabo criar   Melo fábio hahahahahahahahaaha,1,train
fátima elegante chic,1,train
vitor b bandana rejuvenescer number ano,1,train
tag bom mundo,1,train
Cadê repescagir,0,train
ai nervosuuu,0,train
pau cu leonardo,0,train
username bom pessoa km,1,train
déborar   testículo boi alguém comer   perguntar século importante honrar animal masterchefbr,1,train
musa musa   fátimar bernarde,1,train
taís araújo vc maravilhoso ninguém comer gostar fátima dia tmj username,1,train
pra correr pai,0,train
hoje masterchefbr produçao kkk   foramirian,1,train
username pqr época bebê eletricidade ter kkkjh amo ota,1,train
belo Gil Brasil inteiro fã tchan altashora,1,train
bora providenciar   repescagem keridinhos xega sofrimento,0,train
gente comeu sardinha      ,0,train
pq odeio modinha unicórnio sereia maisvoce,0,train
rodrigo santoro ta fazer falar,1,train
username tá ver   danilo tar ahahhahhahhahahhhahah,1,train
deeeu palar tô dar déborah tábua tr boi,0,train
loucurar episódio,1,train
hoje passar parabenizar username mandar ver fã username arrasar prova username show,1,train
preto começar expor indignação racismo branco calar calar boca tomar cu fátimar,0,train
username manoel cagão,0,train
